city,aqi,class,date,time(XX:00)
沈阳,84,良,2018_1_2,18
大连,65,良,2018_1_2,18
鞍山,71,良,2018_1_2,18
抚顺,127,轻度污染,2018_1_2,18
本溪,53,良,2018_1_2,18
丹东,80,良,2018_1_2,18
锦州,44,优,2018_1_2,18
营口,42,优,2018_1_2,18
阜新,82,良,2018_1_2,18
辽阳,74,良,2018_1_2,18
盘锦,58,良,2018_1_2,18
铁岭,114,轻度污染,2018_1_2,18
朝阳,85,良,2018_1_2,18
葫芦岛,33,优,2018_1_2,18
哈尔滨,77,良,2018_1_2,18
齐齐哈尔,81,良,2018_1_2,18
牡丹江,62,良,2018_1_2,18
佳木斯,51,良,2018_1_2,18
大庆,125,轻度污染,2018_1_2,18
伊春,58,良,2018_1_2,18
鸡西,55,良,2018_1_2,18
鹤岗,90,良,2018_1_2,18
双鸭山,53,良,2018_1_2,18
七台河,79,良,2018_1_2,18
绥化,61,良,2018_1_2,18
黑河,63,良,2018_1_2,18
大兴安岭地区,52,良,2018_1_2,18
长春,88,良,2018_1_2,18
吉林,37,优,2018_1_2,18
四平,56,良,2018_1_2,18
辽源,46,优,2018_1_2,18
通化,72,良,2018_1_2,18
白山,49,优,2018_1_2,18
白城,89,良,2018_1_2,18
松原,81,良,2018_1_2,18
延边州,48,优,2018_1_2,18
